City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Caravelas,BR,77.83,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
205,Ambon,ID,78.46,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
206,Tororo,UG,64.99,light rain,0.693,34.1809,Prime Hotel Tororo
207,Ejido,VE,75.9,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
208,Jamestown,US,70.09,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
209,Fethiye,TR,69.67,clear sky,36.6217,29.1164,Club & Hotel Letoonia
210,Key West,US,84.99,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
211,Port Blair,IN,80.35,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
215,Bafq,IR,72.01,clear sky,31.6128,55.4107,Alamdar Hotel
217,Goderich,CA,72.21,overcast clouds,43.7501,-81.7165,Harmony Inn
218,Morehead,US,80.31,broken clouds,37.2711,-87.1764,CCI Express Inn
230,Wamba,NG,75.36,clear sky,8.9333,8.6,Roma Zee Guest House Annex
231,Alamor,EC,73.4,overcast clouds,-4.0181,-80.0197,HOTEL SOL D´ JOZUE
232,Byron Bay,AU,64.87,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
233,Lagoa,PT,70.74,broken clouds,39.05,-27.9833,Casa Das Faias
236,Minbu,MM,75.88,few clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
237,Miraflores,MX,72.03,overcast clouds,19.2167,-98.8083,Hotel Mansión
238,Tezu,IN,73.42,overcast clouds,27.9167,96.1667,Circuit House
239,Talkha,EG,67.57,clear sky,31.0539,31.3779,Almadiafah
245,Chaman,PK,62.44,clear sky,30.9236,66.4512,Niamat parda Center chaman
246,Neepawa,CA,74.8,clear sky,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
247,Harper,LR,78.46,overcast clouds,4.375,-7.7169,Screensaver
248,Nouadhibou,MR,73.18,clear sky,20.931,-17.0347,El Medina
249,Faya,SA,64.51,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
250,Inhambane,MZ,72.46,light rain,-23.865,35.3833,Oceano
252,Sakakah,SA,81.18,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
253,Itarema,BR,81.45,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
254,Poum,NC,74.43,clear sky,-20.2333,164.0167,Gîte kajeon
256,Victoria,HK,84.33,light rain,22.2855,114.1577,Mini Hotel Central
