City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Karatau,KZ,2021-10-03 19:50:37,43.1667,70.4667,42.94,46,1,4.5,clear sky
80,Sao Filipe,CV,2021-10-03 19:48:49,14.8961,-24.4956,80.38,76,99,6.82,overcast clouds
81,Thompson,CA,2021-10-03 19:50:39,55.7435,-97.8558,64.56,45,75,8.05,broken clouds
82,Matamoros,MX,2021-10-03 19:46:16,25.5333,-103.25,78.91,50,90,4.61,overcast clouds
83,Sitka,US,2021-10-03 19:51:57,57.0531,-135.33,44.49,76,75,0.0,light rain
84,Gorzow Wielkopolski,PL,2021-10-03 19:50:40,52.7368,15.2288,65.21,63,100,6.26,overcast clouds
85,Mahebourg,MU,2021-10-03 19:48:50,-20.4081,57.7,73.26,88,75,11.5,light rain
86,Vostok,RU,2021-10-03 19:50:41,46.4856,135.8833,44.22,97,100,3.65,overcast clouds
87,Altay,CN,2021-10-03 19:50:41,47.8667,88.1167,32.47,43,91,5.21,overcast clouds
88,Farah,AF,2021-10-03 19:50:42,32.5,62.5,59.54,26,0,4.85,clear sky
89,Pingtung,TW,2021-10-03 19:50:42,22.6714,120.4881,82.81,87,75,4.61,broken clouds
90,Carnarvon,AU,2021-10-03 19:49:01,-24.8667,113.6333,62.67,77,0,12.66,clear sky
91,Marsa Matruh,EG,2021-10-03 19:50:43,31.3525,27.2453,73.6,53,20,8.05,few clouds
92,Salekhard,RU,2021-10-03 19:50:43,66.53,66.6019,28.24,80,91,7.72,overcast clouds
93,Castro,BR,2021-10-03 19:50:44,-24.7911,-50.0119,65.32,95,100,2.98,light rain
94,Bluff,NZ,2021-10-03 19:50:44,-46.6,168.3333,44.8,83,100,23.62,light rain
95,Longyearbyen,SJ,2021-10-03 19:50:45,78.2186,15.6401,37.18,98,100,4.36,overcast clouds
96,Codrington,AU,2021-10-03 19:50:45,-38.2667,141.9667,51.06,88,73,17.47,light rain
97,Valdivia,CL,2021-10-03 19:50:46,-39.8142,-73.2459,57.79,54,25,0.81,scattered clouds
98,Severnoye,RU,2021-10-03 19:50:46,56.3491,78.3619,30.24,92,100,4.16,overcast clouds
99,Cape Town,ZA,2021-10-03 19:53:26,-33.9258,18.4232,57.09,62,20,5.75,few clouds
100,Hithadhoo,MV,2021-10-03 19:50:47,-0.6,73.0833,83.07,76,86,17.43,overcast clouds
101,Kenai,US,2021-10-03 19:50:31,60.5544,-151.2583,44.15,67,40,3.44,scattered clouds
102,Nikolskoye,RU,2021-10-03 19:48:57,59.7035,30.7861,49.39,87,0,7.85,clear sky
103,Sao Felix Do Xingu,BR,2021-10-03 19:50:48,-6.6447,-51.995,87.51,52,100,4.5,light rain
104,Lagoa,PT,2021-10-03 19:50:48,39.05,-27.9833,70.74,92,54,12.66,broken clouds
105,Batemans Bay,AU,2021-10-03 19:50:49,-35.7167,150.1833,55.9,93,66,4.0,light rain
106,Ville-Marie,CA,2021-10-03 19:46:17,47.3335,-79.433,57.2,66,69,6.04,broken clouds
107,Aklavik,CA,2021-10-03 19:55:36,68.2191,-135.0107,34.52,93,90,16.11,overcast clouds
108,Yellowknife,CA,2021-10-03 19:48:39,62.456,-114.3525,53.42,47,20,9.22,few clouds
109,Grindavik,IS,2021-10-03 19:48:53,63.8424,-22.4338,46.35,87,0,19.57,clear sky
110,Sal Rei,CV,2021-10-03 19:50:50,16.1833,-22.9167,84.4,74,20,14.97,few clouds
111,Provideniya,RU,2021-10-03 19:50:50,64.3833,-173.3,30.31,74,75,4.47,broken clouds
112,Tiznit,MA,2021-10-03 19:50:51,29.5833,-9.5,62.53,80,96,4.34,overcast clouds
113,Sao Joao Da Barra,BR,2021-10-03 19:50:36,-21.6403,-41.0511,82.49,79,2,21.5,clear sky
114,East London,ZA,2021-10-03 19:49:13,-33.0153,27.9116,58.24,70,53,4.63,light rain
115,Katsuura,JP,2021-10-03 19:50:52,35.1333,140.3,71.71,79,1,7.27,clear sky
116,Leningradskiy,RU,2021-10-03 19:50:53,69.3833,178.4167,17.67,84,94,4.34,overcast clouds
117,Dvinskoy,RU,2021-10-03 19:50:53,62.1535,45.1175,43.14,83,100,2.86,overcast clouds
118,Port Elizabeth,ZA,2021-10-03 19:46:39,-33.918,25.5701,56.1,73,4,7.99,clear sky
119,Tuktoyaktuk,CA,2021-10-03 19:50:54,69.4541,-133.0374,33.8,100,90,14.97,light intensity drizzle
120,High Level,CA,2021-10-03 19:50:54,58.5169,-117.136,46.51,53,75,13.8,broken clouds
121,Norman Wells,CA,2021-10-03 19:50:54,65.282,-126.8329,35.64,93,90,20.71,light rain and snow
122,Illapel,CL,2021-10-03 19:50:55,-31.6308,-71.1653,68.61,38,0,8.03,clear sky
123,Neiafu,TO,2021-10-03 19:50:55,-18.65,-173.9833,77.68,88,75,10.36,broken clouds
124,Barsovo,RU,2021-10-03 19:50:56,61.1667,73.1667,30.33,88,100,9.33,overcast clouds
125,Tiksi,RU,2021-10-03 19:49:19,71.6872,128.8694,24.71,88,97,13.0,overcast clouds
126,Sabang,ID,2021-10-03 19:50:56,5.8933,95.3214,81.77,77,68,12.44,broken clouds
127,Angoche,MZ,2021-10-03 19:50:57,-16.2325,39.9086,77.22,73,5,15.64,clear sky
128,Panama City,PA,2021-10-03 19:50:29,8.9936,-79.5197,89.55,65,40,17.27,scattered clouds
129,Zhezkazgan,KZ,2021-10-03 19:50:57,47.8043,67.7144,44.13,78,98,8.61,overcast clouds
130,Port Lincoln,AU,2021-10-03 19:48:23,-34.7333,135.8667,52.54,63,58,26.11,broken clouds
131,Nedjo,ET,2021-10-03 19:50:58,9.5046,35.5019,57.18,93,100,1.97,overcast clouds
132,Arraial Do Cabo,BR,2021-10-03 19:49:43,-22.9661,-42.0278,84.16,69,0,18.41,clear sky
133,Formosa Do Rio Preto,BR,2021-10-03 19:50:59,-11.0483,-45.1931,97.54,16,9,9.53,clear sky
134,Victoria,HK,2021-10-03 19:50:08,22.2855,114.1577,84.33,79,86,1.99,light rain
135,Bayshore Gardens,US,2021-10-03 19:50:59,27.4253,-82.5904,90.99,54,1,11.5,clear sky
136,Rikitea,PF,2021-10-03 19:55:43,-23.1203,-134.9692,73.54,64,78,17.34,broken clouds
137,Ust-Omchug,RU,2021-10-03 19:51:00,61.15,149.6333,18.54,95,100,8.84,overcast clouds
138,Aripuana,BR,2021-10-03 19:51:00,-9.1667,-60.6333,92.93,42,94,1.03,overcast clouds
139,Hermanus,ZA,2021-10-03 19:48:55,-34.4187,19.2345,53.91,67,55,7.58,broken clouds
140,Nalut,LY,2021-10-03 19:51:01,30.3333,10.85,79.16,28,0,9.17,clear sky
141,Vila,PT,2021-10-03 19:51:01,42.0304,-8.1588,50.94,84,27,1.59,scattered clouds
142,Soc Trang,VN,2021-10-03 19:51:02,9.6033,105.98,75.9,93,99,4.41,overcast clouds
143,Puerto Maldonado,PE,2021-10-03 19:48:26,-12.6,-69.1833,97.2,44,40,9.22,scattered clouds
144,Lorengau,PG,2021-10-03 19:49:36,-2.0226,147.2712,79.07,82,97,4.72,overcast clouds
145,Lavrentiya,RU,2021-10-03 19:48:20,65.5833,-171.0,24.6,70,15,3.06,few clouds
146,Mwinilunga,ZM,2021-10-03 19:51:03,-11.7358,24.4293,62.53,87,78,2.89,broken clouds
147,Podporozhye,RU,2021-10-03 19:51:04,60.9112,34.1706,41.52,93,3,4.65,clear sky
148,Olafsvik,IS,2021-10-03 19:51:04,64.8945,-23.7142,40.96,90,100,35.37,overcast clouds
149,Tecoanapa,MX,2021-10-03 19:51:05,16.5167,-98.75,85.87,66,13,10.45,few clouds
150,Boysun,UZ,2021-10-03 19:51:05,38.2061,67.1986,51.37,48,3,4.07,clear sky
151,Dukat,RU,2021-10-03 19:51:06,62.55,155.55,22.96,91,100,11.21,overcast clouds
152,Georgetown,MY,2021-10-03 19:46:21,5.4112,100.3354,81.9,88,20,0.0,few clouds
153,Naze,JP,2021-10-03 19:51:06,28.3667,129.4833,77.22,63,0,19.48,clear sky
154,Hambantota,LK,2021-10-03 19:51:07,6.1241,81.1185,79.56,83,88,12.5,overcast clouds
